Length;Cycles;Cycles per byte
0;43647;43647,0000
1;44712;44712,0000
2;44714;22357,0000
3;44716;14905,3333
4;44718;11179,5000
5;44720;8944,0000
6;44722;7453,6667
7;44724;6389,1429
8;44726;5590,7500
9;44728;4969,7778
10;44730;4473,0000
11;44732;4066,5455
12;44734;3727,8333
13;44736;3441,2308
14;44738;3195,5714
15;44740;2982,6667
16;44742;2796,3750
17;44744;2632,0000
18;44746;2485,8889
19;44748;2355,1579
20;44750;2237,5000
21;44752;2131,0476
22;44754;2034,2727
23;44756;1945,9130
24;44758;1864,9167
25;44760;1790,4000
26;44762;1721,6154
27;44764;1657,9259
28;44766;1598,7857
29;44768;1543,7241
30;44770;1492,3333
31;44772;1444,2581
32;44774;1399,1875
33;44776;1356,8485
34;44778;1317,0000
35;44780;1279,4286
36;44782;1243,9444
37;44784;1210,3784
38;44786;1178,5789
39;44788;1148,4103
40;44790;1119,7500
41;44792;1092,4878
42;44794;1066,5238
43;44796;1041,7674
44;44798;1018,1364
45;44800;995,5556
46;44802;973,9565
47;44804;953,2766
48;44806;933,4583
49;44808;914,4490
50;44810;896,2000
51;44812;878,6667
52;44814;861,8077
53;44816;845,5849
54;44818;829,9630
55;44820;814,9091
56;74747;1334,7679
57;74749;1311,3860
58;74751;1288,8103
59;74753;1267,0000
60;74755;1245,9167
61;74757;1225,5246
62;74759;1205,7903
63;74763;1186,7143
64;74760;1168,1250
65;74765;1150,2308
66;74767;1132,8333
67;74769;1115,9552
68;74771;1099,5735
69;74773;1083,6667
70;74775;1068,2143
71;74777;1053,1972
72;74779;1038,5972
73;74781;1024,3973
74;74783;1010,5811
75;74785;997,1333
76;74787;984,0395
77;74789;971,2857
78;74791;958,8590
79;74793;946,7468
80;74795;934,9375
81;74797;923,4198
82;74799;912,1829
83;74801;901,2169
84;74803;890,5119
85;74805;880,0588
86;74807;869,8488
87;74809;859,8736
88;74811;850,1250
89;74813;840,5955
90;74815;831,2778
91;74817;822,1648
92;74819;813,2500
93;74821;804,5269
94;74823;795,9894
95;74825;787,6316
96;74827;779,4479
97;74829;771,4330
98;74831;763,5816
99;74833;755,8889
100;74835;748,3500
101;74837;740,9604
102;74839;733,7157
103;74841;726,6117
104;74843;719,6442
105;74845;712,8095
106;74847;706,1038
107;74849;699,5234
108;74851;693,0648
128;104813;818,8516
256;164919;644,2148
319;194975;611,2069
382;225024;589,0681
445;255075;573,2022
508;285126;561,2717
571;315177;551,9737
634;345228;544,5237
697;375279;538,4204
760;405330;533,3289
823;405456;492,6561
886;435507;491,5429
949;465558;490,5774
1012;495609;489,7322
1075;525660;488,9860
1390;675915;486,2698
1516;736017;485,4993
1536;765979;498,6842
1831;886272;484,0371
2020;976425;483,3787
2146;1036527;483,0042
2272;1096629;482,6712
2335;1126680;482,5182
2461;1186782;482,2357
2776;1337037;481,6416
