Length;Cycles;Cycles per byte
0;23771;23771,0000
1;41114;41114,0000
2;41116;20558,0000
3;41118;13706,0000
4;41120;10280,0000
5;41122;8224,4000
6;41124;6854,0000
7;41126;5875,1429
8;41128;5141,0000
9;41130;4570,0000
10;41132;4113,2000
11;41134;3739,4545
12;41136;3428,0000
13;41138;3164,4615
14;41140;2938,5714
15;41142;2742,8000
16;41144;2571,5000
17;41146;2420,3529
18;41148;2286,0000
19;41150;2165,7895
20;41152;2057,6000
21;41154;1959,7143
22;41156;1870,7273
23;41158;1789,4783
24;41160;1715,0000
25;41162;1646,4800
26;41164;1583,2308
27;41166;1524,6667
28;41168;1470,2857
29;41170;1419,6552
30;41172;1372,4000
31;41174;1328,1935
32;41176;1286,7500
33;41178;1247,8182
34;41180;1211,1765
35;41182;1176,6286
36;41184;1144,0000
37;41186;1113,1351
38;41188;1083,8947
39;41190;1056,1538
40;41192;1029,8000
41;41194;1004,7317
42;41196;980,8571
43;41198;958,0930
44;41200;936,3636
45;41202;915,6000
46;41204;895,7391
47;41206;876,7234
48;41208;858,5000
49;41210;841,0204
50;41212;824,2400
51;41214;808,1176
52;41216;792,6154
53;41218;777,6981
54;41220;763,3333
55;41222;749,4909
56;68750;1227,6786
57;68752;1206,1754
58;68754;1185,4138
59;68756;1165,3559
60;68758;1145,9667
61;68760;1127,2131
62;68762;1109,0645
63;68766;1091,5238
64;68763;1074,4219
65;68768;1057,9692
66;68770;1041,9697
67;68772;1026,4478
68;68774;1011,3824
69;68776;996,7536
70;68778;982,5429
71;68780;968,7324
72;68782;955,3056
73;68784;942,2466
74;68786;929,5405
75;68788;917,1733
76;68790;905,1316
77;68792;893,4026
78;68794;881,9744
79;68796;870,8354
80;68798;859,9750
81;68800;849,3827
82;68802;839,0488
83;68804;828,9639
84;68806;819,1190
85;68808;809,5059
86;68810;800,1163
87;68812;790,9425
88;68814;781,9773
89;68816;773,2135
90;68818;764,6444
91;68820;756,2637
92;68822;748,0652
93;68824;740,0430
94;68826;732,1915
95;68828;724,5053
96;68830;716,9792
97;68832;709,6082
98;68834;702,3878
99;68836;695,3131
100;68838;688,3800
101;68840;681,5842
102;68842;674,9216
103;68844;668,3883
104;68846;661,9808
105;68848;655,6952
106;68850;649,5283
107;68852;643,4766
108;68854;637,5370
128;96417;753,2578
256;151725;592,6758
319;179382;562,3260
382;207032;541,9686
445;234684;527,3798
508;262336;516,4094
571;289988;507,8599
634;317640;501,0095
697;345292;495,3974
760;372944;490,7158
823;373070;453,3050
886;400722;452,2822
949;428374;451,3952
1012;456026;450,6186
1075;483678;449,9330
1390;621938;447,4374
1516;677242;446,7296
1536;704805;458,8574
1831;815502;445,3861
2020;898458;444,7812
2146;953762;444,4371
2272;1009066;444,1312
2335;1036718;443,9906
2461;1092022;443,7310
2776;1230282;443,1852
