Length;Cycles;Cycles per byte
0;49594;49594,0000
1;50712;50712,0000
2;50716;25358,0000
3;50720;16906,6667
4;50724;12681,0000
5;50728;10145,6000
6;50732;8455,3333
7;50736;7248,0000
8;50740;6342,5000
9;50744;5638,2222
10;50748;5074,8000
11;50752;4613,8182
12;50756;4229,6667
13;50760;3904,6154
14;50764;3626,0000
15;50768;3384,5333
16;50772;3173,2500
17;50776;2986,8235
18;50780;2821,1111
19;50784;2672,8421
20;50788;2539,4000
21;50792;2418,6667
22;50796;2308,9091
23;50800;2208,6957
24;50804;2116,8333
25;50808;2032,3200
26;50812;1954,3077
27;50816;1882,0741
28;50820;1815,0000
29;50824;1752,5517
30;50828;1694,2667
31;50832;1639,7419
32;50836;1588,6250
33;50840;1540,6061
34;50844;1495,4118
35;50848;1452,8000
36;50852;1412,5556
37;50856;1374,4865
38;50860;1338,4211
39;50864;1304,2051
40;50868;1271,7000
41;50872;1240,7805
42;50876;1211,3333
43;50880;1183,2558
44;50884;1156,4545
45;50888;1130,8444
46;50892;1106,3478
47;50896;1082,8936
48;50900;1060,4167
49;50904;1038,8571
50;50908;1018,1600
51;50912;998,2745
52;50916;979,1538
53;50920;960,7547
54;50924;943,0370
55;50928;925,9636
56;85111;1519,8393
57;85115;1493,2456
58;85119;1467,5690
59;85123;1442,7627
60;85127;1418,7833
61;85131;1395,5902
62;85135;1373,1452
63;85141;1351,4444
64;85137;1330,2656
65;85147;1309,9538
66;85151;1290,1667
67;85155;1270,9701
68;85159;1252,3382
69;85163;1234,2464
70;85167;1216,6714
71;85171;1199,5915
72;85175;1182,9861
73;85179;1166,8356
74;85183;1151,1216
75;85187;1135,8267
76;85191;1120,9342
77;85195;1106,4286
78;85199;1092,2949
79;85203;1078,5190
80;85207;1065,0875
81;85211;1051,9877
82;85215;1039,2073
83;85219;1026,7349
84;85223;1014,5595
85;85227;1002,6706
86;85231;991,0581
87;85235;979,7126
88;85239;968,6250
89;85243;957,7865
90;85247;947,1889
91;85251;936,8242
92;85255;926,6848
93;85259;916,7634
94;85263;907,0532
95;85267;897,5474
96;85271;888,2396
97;85275;879,1237
98;85279;870,1939
99;85283;861,4444
100;85287;852,8700
101;85291;844,4653
102;85295;836,2255
103;85299;828,1456
104;85303;820,2212
105;85307;812,4476
106;85311;804,8208
107;85315;797,3364
108;85319;789,9907
128;119572;934,1562
256;188442;736,1016
319;222881;698,6865
382;257310;673,5864
445;291741;655,5978
508;326172;642,0709
571;360603;631,5289
634;395034;623,0820
697;429465;616,1621
760;463896;610,3895
823;464148;563,9708
886;498579;562,7302
949;533010;561,6544
1012;567441;560,7125
1075;601872;559,8809
1390;774027;556,8540
1516;842889;555,9954
1536;877142;571,0560
1831;1015044;554,3659
2020;1118337;553,6322
2146;1187199;553,2148
2272;1256061;552,8438
2335;1290492;552,6732
2461;1359354;552,3584
2776;1531509;551,6963
