Length;Cycles;Cycles per byte
0;48795;48795,0000
1;49898;49898,0000
2;49900;24950,0000
3;49902;16634,0000
4;49904;12476,0000
5;49906;9981,2000
6;49908;8318,0000
7;49910;7130,0000
8;49912;6239,0000
9;49914;5546,0000
10;49916;4991,6000
11;49918;4538,0000
12;49920;4160,0000
13;49922;3840,1538
14;49924;3566,0000
15;49926;3328,4000
16;49928;3120,5000
17;49930;2937,0588
18;49932;2774,0000
19;49934;2628,1053
20;49936;2496,8000
21;49938;2378,0000
22;49940;2270,0000
23;49942;2171,3913
24;49944;2081,0000
25;49946;1997,8400
26;49948;1921,0769
27;49950;1850,0000
28;49952;1784,0000
29;49954;1722,5517
30;49956;1665,2000
31;49958;1611,5484
32;49960;1561,2500
33;49962;1514,0000
34;49964;1469,5294
35;49966;1427,6000
36;49968;1388,0000
37;49970;1350,5405
38;49972;1315,0526
39;49974;1281,3846
40;49976;1249,4000
41;49978;1218,9756
42;49980;1190,0000
43;49982;1162,3721
44;49984;1136,0000
45;49986;1110,8000
46;49988;1086,6957
47;49990;1063,6170
48;49992;1041,5000
49;49994;1020,2857
50;49996;999,9200
51;49998;980,3529
52;50000;961,5385
53;50002;943,4340
54;50004;926,0000
55;50006;909,2000
56;83391;1489,1250
57;83393;1463,0351
58;83395;1437,8448
59;83397;1413,5085
60;83399;1389,9833
61;83401;1367,2295
62;83403;1345,2097
63;83407;1323,9206
64;83404;1303,1875
65;83409;1283,2154
66;83411;1263,8030
67;83413;1244,9701
68;83415;1226,6912
69;83417;1208,9420
70;83419;1191,7000
71;83421;1174,9437
72;83423;1158,6528
73;83425;1142,8082
74;83427;1127,3919
75;83429;1112,3867
76;83431;1097,7763
77;83433;1083,5455
78;83435;1069,6795
79;83437;1056,1646
80;83439;1042,9875
81;83441;1030,1358
82;83443;1017,5976
83;83445;1005,3614
84;83447;993,4167
85;83449;981,7529
86;83451;970,3605
87;83453;959,2299
88;83455;948,3523
89;83457;937,7191
90;83459;927,3222
91;83461;917,1538
92;83463;907,2065
93;83465;897,4731
94;83467;887,9468
95;83469;878,6211
96;83471;869,4896
97;83473;860,5464
98;83475;851,7857
99;83477;843,2020
100;83479;834,7900
101;83481;826,5446
102;83483;818,4608
103;83485;810,5340
104;83487;802,7596
105;83489;795,1333
106;83491;787,6509
107;83493;780,3084
108;83495;773,1019
128;116915;913,3984
256;183937;718,5039
319;217451;681,6646
382;250958;656,9581
445;284467;639,2517
508;317976;625,9370
571;351485;615,5604
634;384994;607,2461
697;418503;600,4347
760;452012;594,7526
823;452138;549,3779
886;485647;548,1343
949;519156;547,0558
1012;552665;546,1117
1075;586174;545,2781
1390;753719;542,2439
1516;820737;541,3832
1536;854157;556,0918
1831;988282;539,7499
2020;1088809;539,0144
2146;1155827;538,5960
2272;1222845;538,2240
2335;1256354;538,0531
2461;1323372;537,7375
2776;1490917;537,0738
