Length;Cycles;Cycles per byte
0;45229;45229,0000
1;47449;47449,0000
2;47453;23726,5000
3;47457;15819,0000
4;47461;11865,2500
5;47465;9493,0000
6;47469;7911,5000
7;47473;6781,8571
8;47477;5934,6250
9;47481;5275,6667
10;47485;4748,5000
11;47489;4317,1818
12;47493;3957,7500
13;47497;3653,6154
14;47501;3392,9286
15;47505;3167,0000
16;47509;2969,3125
17;47513;2794,8824
18;47517;2639,8333
19;47521;2501,1053
20;47525;2376,2500
21;47529;2263,2857
22;47533;2160,5909
23;47537;2066,8261
24;47541;1980,8750
25;47545;1901,8000
26;47549;1828,8077
27;47553;1761,2222
28;47557;1698,4643
29;47561;1640,0345
30;47565;1585,5000
31;47569;1534,4839
32;47573;1486,6562
33;47577;1441,7273
34;47581;1399,4412
35;47585;1359,5714
36;47589;1321,9167
37;47593;1286,2973
38;47597;1252,5526
39;47601;1220,5385
40;47605;1190,1250
41;47609;1161,1951
42;47613;1133,6429
43;47617;1107,3721
44;47621;1082,2955
45;47625;1058,3333
46;47629;1035,4130
47;47633;1013,4681
48;47637;992,4375
49;47641;972,2653
50;47645;952,9000
51;47649;934,2941
52;47653;916,4038
53;47657;899,1887
54;47661;882,6111
55;47665;866,6364
56;79673;1422,7321
57;79677;1397,8421
58;79681;1373,8103
59;79685;1350,5932
60;79689;1328,1500
61;79693;1306,4426
62;79697;1285,4355
63;79703;1265,1270
64;79699;1245,2969
65;79709;1226,2923
66;79713;1207,7727
67;79717;1189,8060
68;79721;1172,3676
69;79725;1155,4348
70;79729;1138,9857
71;79733;1123,0000
72;79737;1107,4583
73;79741;1092,3425
74;79745;1077,6351
75;79749;1063,3200
76;79753;1049,3816
77;79757;1035,8052
78;79761;1022,5769
79;79765;1009,6835
80;79769;997,1125
81;79773;984,8519
82;79777;972,8902
83;79781;961,2169
84;79785;949,8214
85;79789;938,6941
86;79793;927,8256
87;79797;917,2069
88;79801;906,8295
89;79805;896,6854
90;79809;886,7667
91;79813;877,0659
92;79817;867,5761
93;79821;858,2903
94;79825;849,2021
95;79829;840,3053
96;79833;831,5938
97;79837;823,0619
98;79841;814,7041
99;79845;806,5152
100;79849;798,4900
101;79853;790,6238
102;79857;782,9118
103;79861;775,3495
104;79865;767,9327
105;79869;760,6571
106;79873;753,5189
107;79877;746,5140
108;79881;739,6389
128;111959;874,6797
256;176479;689,3711
319;208743;654,3668
382;240997;630,8822
445;273253;614,0517
508;305509;601,3957
571;337765;591,5324
634;370021;583,6293
697;402277;577,1549
760;434533;571,7539
823;434785;528,2928
886;467041;527,1343
949;499297;526,1296
1012;531553;525,2500
1075;563809;524,4735
1390;725089;521,6468
1516;789601;520,8450
1536;821679;534,9473
1831;950881;519,3233
2020;1047649;518,6381
2146;1112161;518,2484
2272;1176673;517,9018
2335;1208929;517,7426
2461;1273441;517,4486
2776;1434721;516,8303
